symbol,name,category,week_start,week_idx,week_of_year,month,week_of_month,quarter,year,pos_week_of_year_sin,pos_week_of_year_cos,pos_month_sin,pos_month_cos,pos_week_of_month_sin,pos_week_of_month_cos,pos_quarter_sin,pos_quarter_cos,pos_global_52_sin,pos_global_52_cos,pos_global_26_sin,pos_global_26_cos,pos_global_13_sin,pos_global_13_cos,pos_global_4_sin,pos_global_4_cos,log_return,log_return_intraweek,log_range,log_volume,log_avg_daily_volume,intra_week_volatility,log_return_ma4,log_return_ma12,log_volume_ma4,log_volume_ma12,momentum_4w,momentum_12w,volatility_ma4,volatility_ma12,log_volume_delta,target_return,pct_return,close,etf_name,sigma,beta,atr_pct,risk_badge,multiplier,target_usd,limit_price,stop_price,target_price,shares,position_usd
ETHA,iShares Ethereum Trust ETF Shares,target,2026-02-02,265,6,2,1,1,2026,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.568064746731154,0.8229838658936576,0.9350162426854133,0.35460488704253973,0.6631226582408019,-0.7485107481710953,1.0,7.344785891701177e-15,-0.2627113747776731,-0.1207159037410209,0.2739719591547585,19.938730642423796,18.329292729989696,0.102701443786437,-0.1005590435197482,-0.0352973367485205,19.29677486159957,19.14474214246062,-0.402236174078993,-0.4235680409822467,0.056307652682291,0.0440738372285554,0.7796602202279921,0.0357802929352355,-23.10361923648985,15.51,iShares Ethereum Trust ETF Shares,8.345886790332976,1.2133955487457229,4.574937457357287,🔥,1.1,1100.0,15.51,14.89,17.06,70,1085.7
IBIT,iShares Bitcoin Trust ETF Shares,target,2026-02-02,265,6,2,1,1,2026,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.568064746731154,0.8229838658936576,0.9350162426854133,0.35460488704253973,0.6631226582408019,-0.7485107481710953,1.0,7.344785891701177e-15,-0.1796718801443584,-0.1090080890372664,0.2430017233655902,20.48885684062037,18.879418928186272,0.0859994019137219,-0.0635276735734924,-0.0248639143793164,19.717964401370985,19.514106674807604,-0.2541106942939698,-0.2983669725517973,0.0434527800348122,0.0311684926951192,0.8894119062882453,0.0085295479851687,-16.445567487892188,39.68,iShares Bitcoin Trust ETF Shares,5.51890739865458,0.5864070433143829,3.2514153518981534,🔥,1.1,1100.0,39.68,38.09,43.65,27,1071.36
IBLC,iShares Blockchain and Tech ETF,target,2026-02-02,265,6,2,1,1,2026,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.568064746731154,0.8229838658936576,0.9350162426854133,0.35460488704253973,0.6631226582408019,-0.7485107481710953,1.0,7.344785891701177e-15,-0.1143083969972708,-0.0885710341812766,0.2322106974924693,12.298929819173432,10.689491906739333,0.0874082816579337,-0.0425536643768585,-0.0175657222421271,12.083708532735,12.161785141817896,-0.1702146575074342,-0.2107886669055258,0.0464515984524182,0.0380943253605328,0.5273006274904439,0.0477490396610214,-10.801717136558764,38.44,iShares Blockchain and Tech ETF,7.810174614513319,1.9761294189371217,4.06285213471892,🔥⚡,1.1,1100.0,38.44,36.9,42.28,28,1076.32
IGV,iShares Expanded Tech-Software Sector ETF,target,2026-02-02,265,6,2,1,1,2026,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.568064746731154,0.8229838658936576,0.9350162426854133,0.35460488704253973,0.6631226582408019,-0.7485107481710953,1.0,7.344785891701177e-15,-0.0909348689839535,-0.1000285963981429,0.1419479990586357,18.921992712068693,17.31255479963459,0.0345593845201218,-0.0604117557196923,-0.022051602078019,17.931010584125133,17.137596162186444,-0.2416470228787694,-0.2646192249362282,0.0212415551728139,0.0140011532615352,0.9260267021541182,0.0318743953016012,-8.69228213929798,82.46,iShares Expanded Tech-Software Sector ETF,3.067569663684115,1.3085204817566545,2.0720298402137187,,1.1,1100.0,82.46,79.16,90.71,13,1071.98
IVRS,iShares Future Metaverse Tech and Communications ETF,target,2026-02-02,265,6,2,1,1,2026,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.568064746731154,0.8229838658936576,0.9350162426854133,0.35460488704253973,0.6631226582408019,-0.7485107481710953,1.0,7.344785891701177e-15,-0.0824909426517339,-0.0739806140980824,0.1158825447578528,10.230702789323235,8.621264876889136,0.0336293798942069,-0.0407627998871685,-0.0186000480204112,8.866080155365992,8.03919105564446,-0.1630511995486741,-0.223200576244935,0.0215129054376733,0.0153470141462174,1.0272863324198769,0.0020593553214872,-7.918022199554564,30.5121,iShares Future Metaverse Tech and Communications ETF,2.699105019379691,0.9569142315518574,1.3594554246492276,,1.1,1100.0,30.51,29.29,33.56,36,1098.44
SLV,iShares Silver Trust,target,2026-02-02,265,6,2,1,1,2026,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.568064746731154,0.8229838658936576,0.9350162426854133,0.35460488704253973,0.6631226582408019,-0.7485107481710953,1.0,7.344785891701177e-15,-0.0721317875828719,-0.0501528808640966,0.2342252586474288,20.460040128042184,18.85060221560808,0.0963909624624077,-0.0076810418483165,0.0352861998134812,20.497048647258723,19.727026425087473,-0.0307241673932662,0.4234343977617751,0.0859226796706155,0.0494930123553408,-0.7015612778743723,0.064013023349937,-6.959172852598083,70.19,iShares Silver Trust,6.0642601178383115,0.6702905409060627,4.9047506387811115,🔥,1.1,1100.0,70.19,67.38,77.21,15,1052.85
XSW,State Street SPDR S&P Software & Services ETF,target,2026-02-02,265,6,2,1,1,2026,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.568064746731154,0.8229838658936576,0.9350162426854133,0.35460488704253973,0.6631226582408019,-0.7485107481710953,1.0,7.344785891701177e-15,-0.0720350991505245,-0.0671785377567115,0.1351233451344236,13.019353430327689,11.409915517893586,0.0423417568866722,-0.0503696643884628,-0.0143887718786026,12.705720769924724,11.460704677910828,-0.2014786575538514,-0.1726652625432312,0.0218035822533247,0.0151923787406416,-0.1698701460333413,0.0063435319887908,-6.950176445959677,155.57,State Street SPDR S&P Software & Services ETF,2.6768036536277053,1.2612165228216297,1.6815029630563627,,1.1,1100.0,155.57,149.35,171.13,7,1088.99
